input-event0.txt
Event: time 1659312650.552511, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 1
Event: time 1659312650.671100, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 0
Event: time 1659312650.811170, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 1
Event: time 1659312650.932747, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 0
Event: time 1659312666.630622, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 1
Event: time 1659312666.699898, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 0
Event: time 1659312666.974264, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 1
Event: time 1659312667.069045, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 0
Event: time 1659312667.307948, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 1
Event: time 1659312667.428486, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 0
Event: time 1659312667.537829, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 1
Event: time 1659312667.655966, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 0
Event: time 1659312667.747013, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 1
Event: time 1659312667.841177, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 0
Event: time 1659312668.015329, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 1
Event: time 1659312668.101736, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 0
Event: time 1659312668.287340, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 1
Event: time 1659312668.429357, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 0
Event: time 1659312668.643254, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 1
Event: time 1659312668.794587, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 0
Event: time 1659312669.086587, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 1
Event: time 1659312669.209510, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 0
Event: time 1659312669.910559, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 1
Event: time 1659312670.041874, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 0
Event: time 1659312670.450381, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 1
Event: time 1659312670.633887, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 0
Event: time 1659312670.840878, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 1
Event: time 1659312671.018078, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 0
Event: time 1659312671.140662, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 1
Event: time 1659312671.296295, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 0
Event: time 1659312671.374839, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 1
Event: time 1659312671.516385, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 0
Event: time 1659312671.633510, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 1
Event: time 1659312671.755992, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 0
Event: time 1659312671.925644, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 1
Event: time 1659312672.037450, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 0
Event: time 1659312672.115880, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 1
Event: time 1659312672.229093, type 1 (EV_KEY), code 114 (KEY_VOLUMEDOWN), value 0
Event: time 1659312672.308690, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 1
Event: time 1659312672.459042, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 0
Event: time 1659312672.528454, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 1
Event: time 1659312672.650950, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 0
Event: time 1659312672.707461, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 1
Event: time 1659312672.824102, type 1 (EV_KEY), code 115 (KEY_VOLUMEUP), value 0

input-second-event3.txt
Event: time 1659312645.356061, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312645.356075, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312645.387018, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312645.387027, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312645.438729, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312645.438739, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312645.490462, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312645.490471, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312645.521503, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312645.521512, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312645.552569, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312645.552580, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312645.583620, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312645.583629, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312645.614662, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312645.614671, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312645.645708, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312645.645716, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312645.676726, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312645.676734, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312645.728390, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312645.728398, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312645.759414, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312645.759423, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312645.790411, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312645.790419, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312645.966232, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312645.966240, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312645.997221, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312645.997234, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312646.038619, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312646.038630, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312646.100623, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312646.100632, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312646.131669, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312646.131678, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312646.162656, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312646.162681, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312646.193660, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312646.193671, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312646.224652, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312646.224661, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312646.255670, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312646.255678, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312646.286655, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312646.286671, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312646.338358, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312646.338366, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312646.379699, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312646.379708, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312646.452108, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312646.452117, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312647.600257, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312647.600268, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312647.641593, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312647.641602, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312653.017838, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
